support,itemsets
0.001277139208173691,"frozenset({'Paneer Tikka', 'Mushroom Pepper Fries'})"
0.001277139208173691,"frozenset({'Keerai Vadai', 'Hot & Sour Veg. Soup'})"
0.001277139208173691,"frozenset({'Keerai Vadai', 'Omapodi'})"
0.001277139208173691,"frozenset({'Sweet Of the Day', 'Omapodi'})"
0.001277139208173691,"frozenset({'Sweet Of the Day', 'Keerai Vadai'})"
0.001277139208173691,"frozenset({'Sweet Of the Day', 'Omapodi', 'Keerai Vadai'})"
0.001277139208173691,"frozenset({'Hot & Sour Veg. Soup', 'Mushroom Pulao'})"
0.001277139208173691,"frozenset({'Papad', 'Badusha'})"
0.001277139208173691,"frozenset({'Masala Tea', 'Green Tea'})"
0.001277139208173691,"frozenset({'Rasam', 'Rasamalai'})"
0.001277139208173691,"frozenset({'Chicken Popcorn', 'Chicken Wings'})"
0.001277139208173691,"frozenset({'Impossible Veg Kothu Parotta', 'Kashmiri Naan'})"
0.001277139208173691,"frozenset({'Pineapple Rava Kesari', 'Kashmiri Naan'})"
0.001277139208173691,"frozenset({'Impossible Veg Kothu Parotta', 'Pineapple Rava Kesari'})"
0.001277139208173691,"frozenset({'Impossible Veg Kothu Parotta', 'Pineapple Rava Kesari', 'Kashmiri Naan'})"
