antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Garlic Naan'}),frozenset({'Kara Boondi'}),0.0038314176245210726,0.001277139208173691,0.001277139208173691,0.33333333333333337,261.0,0.0012722459545025273,1.4980842911877394,1.0
frozenset({'Garlic Naan'}),frozenset({'Variety Rice - Tamarind Rice'}),0.0038314176245210726,0.001277139208173691,0.001277139208173691,0.33333333333333337,261.0,0.0012722459545025273,1.4980842911877394,1.0
frozenset({'Variety Rice - Tamarind Rice'}),frozenset({'Garlic Naan'}),0.001277139208173691,0.0038314176245210726,0.001277139208173691,1.0,261.0,0.0012722459545025273,inf,0.9974424552429666
frozenset({'Mango Lassi'}),frozenset({'Green Tea'}),0.0038314176245210726,0.006385696040868455,0.001277139208173691,0.33333333333333337,52.2,0.001252672939817873,1.4904214559386975,0.9846153846153847
frozenset({'Green Tea'}),frozenset({'Mango Lassi'}),0.006385696040868455,0.0038314176245210726,0.001277139208173691,0.2,52.2,0.001252672939817873,1.2452107279693485,0.987146529562982
frozenset({'Masala Tea'}),frozenset({'Green Tea'}),0.001277139208173691,0.006385696040868455,0.001277139208173691,1.0,156.6,0.0012689837853884184,inf,0.9948849104859334
frozenset({'Green Tea'}),frozenset({'Masala Tea'}),0.006385696040868455,0.001277139208173691,0.001277139208173691,0.2,156.6,0.0012689837853884184,1.2484035759897827,1.0
frozenset({'Keerai Vadai'}),frozenset({'Hot & Sour Veg. Soup'}),0.0038314176245210726,0.006385696040868455,0.001277139208173691,0.33333333333333337,52.2,0.001252672939817873,1.4904214559386975,0.9846153846153847
frozenset({'Hot & Sour Veg. Soup'}),frozenset({'Keerai Vadai'}),0.006385696040868455,0.0038314176245210726,0.001277139208173691,0.2,52.2,0.001252672939817873,1.2452107279693485,0.987146529562982
frozenset({'Mushroom Pulao'}),frozenset({'Hot & Sour Veg. Soup'}),0.001277139208173691,0.006385696040868455,0.001277139208173691,1.0,156.6,0.0012689837853884184,inf,0.9948849104859334
frozenset({'Hot & Sour Veg. Soup'}),frozenset({'Mushroom Pulao'}),0.006385696040868455,0.001277139208173691,0.001277139208173691,0.2,156.6,0.0012689837853884184,1.2484035759897827,1.0
frozenset({'Impossible Veg Kothu Parotta'}),frozenset({'Impossible Dosai'}),0.12388250319284802,0.0280970625798212,0.001277139208173691,0.010309278350515464,0.3669165885660731,-0.0022035952365806596,0.9820269263516389,-0.6632302405498282
frozenset({'Impossible Dosai'}),frozenset({'Impossible Veg Kothu Parotta'}),0.0280970625798212,0.12388250319284802,0.001277139208173691,0.045454545454545456,0.3669165885660731,-0.0022035952365806596,0.9178373776074925,-0.6396780303030304
frozenset({'Impossible Vegetable Laba'}),frozenset({'Impossible Dosai'}),0.21839080459770116,0.0280970625798212,0.001277139208173691,0.005847953216374269,0.208133971291866,-0.004859000895465422,0.9776200135226504,-0.8295739348370927
frozenset({'Impossible Dosai'}),frozenset({'Impossible Vegetable Laba'}),0.0280970625798212,0.21839080459770116,0.001277139208173691,0.045454545454545456,0.20813397129186603,-0.004859000895465422,0.8188286808976463,-0.796524064171123
frozenset({'Impossible Schezwan Fried Rice'}),frozenset({'Impossible Veg Fried Rice'}),0.04980842911877394,0.05363984674329502,0.001277139208173691,0.025641025641025644,0.47802197802197804,-0.0013945772962816166,0.9712643678160919,-0.5347091932457786
frozenset({'Impossible Veg Fried Rice'}),frozenset({'Impossible Schezwan Fried Rice'}),0.05363984674329502,0.04980842911877394,0.001277139208173691,0.02380952380952381,0.4780219780219781,-0.0013945772962816166,0.9733669750490609,-0.5357142857142857
frozenset({'Impossible Schezwan Fried Rice'}),frozenset({'Impossible Veg Kothu Parotta'}),0.04980842911877394,0.12388250319284802,0.005108556832694764,0.10256410256410257,0.8279143536875496,-0.0010618360466424937,0.9762452107279693,-0.17948717948717946
frozenset({'Impossible Veg Kothu Parotta'}),frozenset({'Impossible Schezwan Fried Rice'}),0.12388250319284802,0.04980842911877394,0.005108556832694764,0.041237113402061855,0.8279143536875496,-0.0010618360466424937,0.9910600255427842,-0.19175257731958759
frozenset({'Impossible Vegetable Laba'}),frozenset({'Impossible Schezwan Fried Rice'}),0.21839080459770116,0.04980842911877394,0.001277139208173691,0.005847953216374269,0.11740890688259109,-0.009600563702822917,0.9557809330628803,-0.9058171745152354
frozenset({'Impossible Schezwan Fried Rice'}),frozenset({'Impossible Vegetable Laba'}),0.04980842911877394,0.21839080459770116,0.001277139208173691,0.025641025641025644,0.1174089068825911,-0.009600563702822917,0.8021778584392014,-0.8877828054298642
frozenset({'Impossible Schezwan Fried Rice'}),frozenset({'Impossible Vegetable Omelette'}),0.04980842911877394,0.019157088122605363,0.001277139208173691,0.025641025641025644,1.3384615384615386,0.0003229547422967956,1.0066545674531155,0.26612903225806467
frozenset({'Impossible Vegetable Omelette'}),frozenset({'Impossible Schezwan Fried Rice'}),0.019157088122605363,0.04980842911877394,0.001277139208173691,0.06666666666666668,1.3384615384615388,0.0003229547422967956,1.0180623973727423,0.25781250000000017
frozenset({'Impossible Vegetable Laba'}),frozenset({'Impossible Veg Kothu Parotta'}),0.21839080459770116,0.12388250319284802,0.005108556832694764,0.023391812865497075,0.18882257189365165,-0.0219462427151686,0.8971023470300779,-0.8460667798528579
frozenset({'Impossible Veg Kothu Parotta'}),frozenset({'Impossible Vegetable Laba'}),0.12388250319284802,0.21839080459770116,0.005108556832694764,0.041237113402061855,0.18882257189365165,-0.0219462427151686,0.8152267952045482,-0.8306068275819496
frozenset({'Impossible Veg Kothu Parotta'}),frozenset({'Impossible Vegetable Omelette'}),0.12388250319284802,0.019157088122605363,0.001277139208173691,0.010309278350515464,0.5381443298969072,-0.0010960888223406386,0.991060025542784,-0.49484536082474206
